staff_id,first_name,last_name,gender,hospital,city,state,department,job_title,education_level,hire_date,birth_date,performance_rating,night_shift,shift_type,certification_level,base_salary,adjusted_salary,termdate
HC-575435,Janet,Williams,Female,Metro Medical,Los Angeles,California,Emergency,Paramedic,Associate,2022-03-24,1995-04-16,Good,No,Evening,Advanced,67460,72338,
HC-802729,Christopher,Hall,Female,General Health Center,Chicago,Illinois,Radiology,X-Ray Technician,Associate,2020-02-06,1977-04-12,Good,No,Night,None,119840,133885,2022-06-12
HC-765822,Cynthia,Diaz,Female,Metro Medical,New York City,New York,Admin,Admin Assistant,High School,2019-05-15,1990-03-18,Good,No,Day,Specialized,89735,92707,
HC-383060,Joseph,Zuniga,Female,Mercy Hospital,San Francisco,California,Admin,Billing Specialist,Bachelor,2020-08-24,1991-08-10,Needs Improvement,No,Night,Advanced,47331,53665,
HC-340174,George,Daniel,Male,Metro Medical,Los Angeles,California,Radiology,Radiologist,MD,2021-03-01,1987-05-19,Good,Yes,Evening,None,67653,100008,
HC-694731,Veronica,Bowman,Male,Unity Health,Los Angeles,California,Oncology,Lab Technician,Bachelor,2017-07-22,1975-09-07,Good,No,Evening,Specialized,124259,153771,
HC-581141,Megan,Parsons,Male,Unity Health,Houston,Texas,Emergency,ER Doctor,MD,2016-03-24,1987-01-12,Average,No,Night,Advanced,137912,203868,
HC-712982,Leslie,Adams,Male,Lakeside Clinic,Tampa,Florida,Pharmacy,Pharmacy Technician,Bachelor,2022-03-18,1988-12-10,Good,Yes,Evening,Basic,58131,69859,
HC-634277,Nancy,Edwards,Male,Sunrise Medical,Dallas,Texas,Emergency,ER Nurse,Bachelor,2014-08-27,1991-05-25,Good,No,Day,Basic,122240,145893,
HC-267753,Robin,Ellis,Male,Hope Wellness Center,Austin,Texas,Cardiology,Technician,Associate,2018-04-07,1994-03-31,Average,No,Evening,Specialized,118104,133620,2019-02-11
HC-590785,Anna,Baker,Female,Unity Health,Tampa,Florida,Admin,Billing Specialist,Bachelor,2016-08-01,1977-11-23,Good,No,Day,None,129353,151395,
HC-663054,Reginald,Robinson,Male,Lakeside Clinic,San Francisco,California,Cardiology,Cardiac Nurse,Bachelor,2021-12-30,1989-07-05,Needs Improvement,No,Day,Advanced,96985,116285,
HC-265840,Christopher,Williams,Male,Valley Hospital,Austin,Texas,Oncology,Oncology Nurse,Bachelor,2013-02-09,1968-08-17,Good,Yes,Night,Advanced,105612,132728,
HC-898975,Laura,Henderson,Female,Lakeside Clinic,Houston,Texas,Oncology,Oncologist,MD,2019-01-24,1994-05-19,Good,No,Night,Advanced,123748,171007,
HC-632323,Wendy,Rice,Female,General Health Center,Miami,Florida,Pharmacy,Inventory Clerk,High School,2016-12-20,1983-11-10,Needs Improvement,Yes,Day,None,118504,124400,
HC-439902,Alexander,Le,Female,Hope Wellness Center,New York City,New York,Pediatrics,Pediatric Nurse,Bachelor,2013-09-06,1980-07-14,Average,Yes,Evening,Basic,47592,55329,
HC-352572,Joseph,Davidson,Female,Sunrise Medical,Los Angeles,California,Pediatrics,Child Therapist,Master,2023-02-10,1999-06-08,Good,No,Night,Specialized,49071,59577,
HC-897549,Shawn,Mckay,Female,Unity Health,Orlando,Florida,Admin,Billing Specialist,Bachelor,2021-11-15,1995-04-06,Average,Yes,Night,Specialized,112063,125889,
HC-273148,Vincent,White,Male,General Health Center,Tampa,Florida,Radiology,X-Ray Technician,Associate,2019-11-29,1978-11-13,Needs Improvement,No,Evening,Basic,110686,129876,
HC-891952,Kenneth,Fowler,Female,Mercy Hospital,San Diego,California,Admin,Billing Specialist,Bachelor,2020-08-10,1976-02-25,Average,No,Evening,Specialized,128039,150191,
HC-781446,Kathryn,Ryan,Male,Mercy Hospital,Miami,Florida,Cardiology,Cardiac Nurse,Bachelor,2018-10-11,1980-07-12,Outstanding,No,Evening,None,72493,88713,
HC-335612,Aaron,Nguyen,Female,Lakeside Clinic,Los Angeles,California,Pharmacy,Pharmacist,PhD,2017-01-08,1977-12-05,Good,No,Night,Basic,117128,162011,
HC-330914,Natasha,Decker,Female,Sunrise Medical,San Diego,California,Pharmacy,Pharmacist,PhD,2014-04-22,1972-01-22,Good,No,Day,Basic,48834,68301,
HC-132938,Natalie,Arroyo,Male,Metro Medical,Springfield,Illinois,Pharmacy,Pharmacy Technician,Bachelor,2014-02-01,1985-06-26,Average,Yes,Evening,Specialized,68080,82377,2015-03-27
HC-665427,Chad,Hodges,Female,Sunrise Medical,Naperville,Illinois,Oncology,Oncologist,MD,2021-10-06,1981-02-16,Average,No,Night,Specialized,71850,102284,
HC-922733,Thomas,Pierce,Male,Sunrise Medical,New York City,New York,Radiology,X-Ray Technician,Associate,2021-04-07,1993-11-14,Good,Yes,Day,None,126374,143308,
HC-551989,Rodney,Lewis,Female,Sunrise Medical,Houston,Texas,Oncology,Oncology Nurse,Bachelor,2018-07-16,1982-09-23,Average,Yes,Night,None,128259,148439,
HC-785197,James,Collins,Male,Lakeside Clinic,San Francisco,California,Radiology,MRI Technician,Bachelor,2014-12-29,1980-08-25,Good,Yes,Night,Advanced,54322,66477,
HC-360735,Samuel,Holmes,Female,General Health Center,Rochester,New York,Oncology,Oncologist,MD,2015-02-14,1979-03-23,Average,Yes,Day,Specialized,64050,91591,
HC-392075,Matthew,Chapman,Male,Lakeside Clinic,Dallas,Texas,Radiology,X-Ray Technician,Associate,2016-03-24,1992-03-21,Good,No,Evening,None,46630,53001,2016-12-06
HC-783823,Chad,Welch,Female,Metro Medical,San Francisco,California,Admin,Billing Specialist,Bachelor,2022-03-25,1998-11-26,Good,Yes,Day,Basic,93269,104045,2024-09-23
HC-609231,Michele,Jones,Female,General Health Center,Miami,Florida,Pediatrics,Pediatric Nurse,Bachelor,2016-03-27,1982-09-01,Average,No,Day,Basic,89672,103781,
HC-102260,Jason,Anderson,Female,Metro Medical,San Diego,California,Pharmacy,Pharmacy Technician,Bachelor,2016-12-07,1980-07-27,Outstanding,No,Evening,Specialized,131303,152648,2018-07-26
HC-865990,Thomas,Mueller,Female,Valley Hospital,Chicago,Illinois,Pediatrics,Child Therapist,Master,2020-10-21,1983-03-11,Good,Yes,Day,Basic,78890,99378,
HC-328275,Collin,Jordan,Female,Valley Hospital,Austin,Texas,Admin,Admin Assistant,High School,2019-06-04,1980-06-19,Average,No,Day,Advanced,47492,50193,2021-02-26
HC-152578,Jessica,Nunez,Male,Hope Wellness Center,New York City,New York,Pediatrics,Child Therapist,Master,2018-12-25,1980-02-05,Good,No,Day,None,106562,142260,
HC-184002,Richard,Morgan,Female,Unity Health,Houston,Texas,Pediatrics,Pediatrician,MD,2014-11-10,1990-04-01,Good,No,Night,Basic,92923,129601,
HC-225710,James,West,Female,Unity Health,Tampa,Florida,Admin,Billing Specialist,Bachelor,2016-06-02,1975-04-12,Needs Improvement,No,Day,None,94948,111623,
HC-789305,John,Leblanc,Female,General Health Center,Tampa,Florida,Pediatrics,Child Therapist,Master,2019-06-11,1987-11-10,Average,No,Evening,Basic,127782,159510,
HC-850981,Andrea,Williams,Male,Lakeside Clinic,Los Angeles,California,Cardiology,Cardiac Nurse,Bachelor,2016-12-30,1982-11-01,Average,Yes,Day,Advanced,99929,121739,
HC-431535,Tanya,House,Male,Metro Medical,Naperville,Illinois,Pediatrics,Pediatrician,MD,2013-11-05,1972-03-01,Average,No,Night,None,49602,75835,2014-10-17
HC-663750,Todd,Lewis,Male,Metro Medical,New York City,New York,Oncology,Oncologist,MD,2019-05-26,1993-01-22,Average,Yes,Evening,None,72018,105002,
HC-487477,Nicholas,Galloway,Female,Unity Health,Naperville,Illinois,Admin,Receptionist,High School,2015-04-07,1976-10-13,Good,No,Night,Advanced,120173,128149,
HC-946305,Spencer,Henderson,Male,Unity Health,Chicago,Illinois,Radiology,MRI Technician,Bachelor,2019-12-15,1976-12-29,Average,No,Night,Advanced,126951,156753,
HC-208618,Angela,Higgins,Male,Mercy Hospital,Miami,Florida,Oncology,Oncologist,MD,2016-02-26,1991-04-19,Good,Yes,Night,Basic,75697,110877,
HC-395442,Tanya,Riley,Female,Metro Medical,Chicago,Illinois,Admin,Billing Specialist,Bachelor,2016-07-16,1984-09-30,Average,No,Day,Advanced,106244,122405,
HC-612262,Brian,Silva,Male,Lakeside Clinic,San Francisco,California,Pediatrics,Pediatric Nurse,Bachelor,2023-07-03,2000-11-07,Average,No,Day,Specialized,76265,89135,
HC-146228,Eric,Yu,Male,Mercy Hospital,San Diego,California,Admin,Admin Assistant,High School,2017-01-30,1991-03-09,Average,No,Night,Advanced,61178,66378,
HC-877236,Brooke,Leonard,Female,Lakeside Clinic,Los Angeles,California,Pharmacy,Pharmacy Technician,Bachelor,2019-03-27,1984-02-13,Needs Improvement,No,Night,None,54663,62978,
HC-178898,Pamela,Sanchez,Female,Sunrise Medical,Dallas,Texas,Admin,Billing Specialist,Bachelor,2023-08-05,1984-08-14,Good,No,Day,Advanced,116350,134048,
HC-679364,Robert,Silva,Male,Metro Medical,Houston,Texas,Pharmacy,Pharmacist,PhD,2018-07-10,1995-12-07,Needs Improvement,No,Evening,Advanced,45229,63208,
HC-475190,James,Moran,Female,Sunrise Medical,Dallas,Texas,Pharmacy,Pharmacist,PhD,2020-03-28,1977-05-25,Average,Yes,Day,Advanced,113385,156834,
HC-526117,Emily,Evans,Male,Valley Hospital,New York City,New York,Admin,Billing Specialist,Bachelor,2021-04-26,1992-10-01,Needs Improvement,No,Day,Basic,94040,111978,
HC-125990,Charles,Ellis,Female,Valley Hospital,Houston,Texas,Radiology,Radiologist,MD,2021-12-30,1989-12-29,Average,No,Evening,Basic,74970,104802,2025-02-23
HC-266931,Charles,Lewis,Female,General Health Center,Dallas,Texas,Emergency,Paramedic,Associate,2014-04-07,1991-12-06,Good,No,Evening,Basic,66158,71602,
HC-956253,Nicole,Suarez,Male,Metro Medical,Orlando,Florida,Emergency,ER Nurse,Bachelor,2017-05-15,1988-02-27,Good,No,Day,None,126511,152035,
HC-302511,Martha,Warner,Male,Unity Health,San Diego,California,Radiology,X-Ray Technician,Associate,2017-08-11,1993-12-26,Good,No,Evening,Advanced,124080,140707,
HC-634150,Destiny,Smith,Male,Mercy Hospital,Rochester,New York,Oncology,Oncology Nurse,Bachelor,2020-10-25,1981-04-19,Good,Yes,Evening,None,55118,67299,
HC-373903,Elizabeth,Mcmillan,Female,Sunrise Medical,San Francisco,California,Radiology,Radiologist,MD,2019-02-18,1989-02-12,Average,No,Day,None,118193,165225,2020-12-02
HC-555673,Daniel,Tran,Female,Lakeside Clinic,Naperville,Illinois,Radiology,X-Ray Technician,Associate,2021-04-10,1989-08-09,Good,No,Evening,None,90488,98385,
HC-704596,Jennifer,Harris,Male,Metro Medical,Buffalo,New York,Radiology,Radiologist,MD,2016-08-19,1972-04-06,Good,No,Evening,None,108146,165342,
HC-945687,Tracy,Whitehead,Male,General Health Center,San Diego,California,Admin,Billing Specialist,Bachelor,2020-11-04,1975-02-03,Average,Yes,Night,Basic,87739,108577,2022-04-01
HC-552248,Rodney,Hill,Male,Lakeside Clinic,Los Angeles,California,Radiology,Radiologist,MD,2023-01-02,1991-10-08,Outstanding,Yes,Night,Advanced,126951,185951,
HC-989208,Dana,Green,Male,Sunrise Medical,Rochester,New York,Pharmacy,Pharmacist,PhD,2021-09-27,1990-07-20,Average,No,Night,Advanced,127410,180126,2024-11-30
HC-528231,Ronald,Smith,Female,Metro Medical,New York City,New York,Radiology,X-Ray Technician,Associate,2018-01-28,1987-11-18,Good,Yes,Night,Basic,65144,71154,
HC-540869,Rebecca,Gardner,Female,Unity Health,New York City,New York,Emergency,Paramedic,Associate,2023-10-31,1980-07-31,Good,No,Night,Basic,120676,133916,
HC-696750,Earl,Anderson,Male,Sunrise Medical,Rochester,New York,Pharmacy,Pharmacy Technician,Bachelor,2018-04-23,1996-11-24,Needs Improvement,No,Evening,Advanced,67549,79691,
HC-550770,Laura,Valencia,Female,Metro Medical,San Francisco,California,Pharmacy,Inventory Clerk,High School,2020-11-24,1988-03-17,Good,No,Evening,Specialized,97954,101664,
HC-808446,John,Garcia,Male,Metro Medical,Houston,Texas,Oncology,Oncologist,MD,2019-10-11,1974-11-18,Good,No,Day,None,77196,117502,
HC-640490,Richard,Oliver,Female,Sunrise Medical,Los Angeles,California,Pharmacy,Inventory Clerk,High School,2020-02-26,1988-12-05,Average,Yes,Day,Basic,128184,133039,
HC-425498,Michelle,Cherry,Female,Sunrise Medical,Naperville,Illinois,Oncology,Oncologist,MD,2021-10-23,1995-11-17,Average,Yes,Day,None,72092,99392,2022-12-02
HC-598216,Angel,Doyle,Female,Lakeside Clinic,Orlando,Florida,Admin,Billing Specialist,Bachelor,2022-05-01,1998-12-05,Good,No,Evening,Specialized,122544,136702,
HC-703634,Leah,Shields,Female,General Health Center,Dallas,Texas,Pediatrics,Pediatrician,MD,2021-10-23,1987-04-08,Good,No,Evening,Specialized,71979,101083,
HC-254739,Kristin,Rodriguez,Female,Sunrise Medical,San Diego,California,Admin,Billing Specialist,Bachelor,2020-11-14,1995-11-09,Good,No,Evening,Basic,63053,70832,
HC-943170,Jeffrey,Velasquez,Male,Valley Hospital,Dallas,Texas,Oncology,Lab Technician,Bachelor,2019-06-17,1996-04-21,Average,No,Night,Basic,55906,65955,
HC-578634,Laura,Perez,Male,Hope Wellness Center,Austin,Texas,Oncology,Oncologist,MD,2021-01-09,1978-03-12,Average,No,Night,Advanced,138992,209687,
HC-564071,Mark,Lin,Male,General Health Center,Rochester,New York,Radiology,MRI Technician,Bachelor,2021-12-18,1983-04-12,Good,No,Evening,Specialized,60861,73977,
HC-879779,Darlene,Ross,Female,Valley Hospital,Tampa,Florida,Radiology,X-Ray Technician,Associate,2018-12-24,1989-07-15,Average,No,Night,Advanced,108327,117781,
HC-608136,Sheila,Wilson,Female,Lakeside Clinic,Chicago,Illinois,Radiology,MRI Technician,Bachelor,2016-12-20,1980-03-06,Good,Yes,Day,Advanced,70735,82234,
HC-384913,Sydney,Baker,Male,Sunrise Medical,Miami,Florida,Radiology,X-Ray Technician,Associate,2017-02-09,1978-06-08,Average,Yes,Day,Basic,59769,70131,
HC-342495,Jessica,Edwards,Male,General Health Center,Los Angeles,California,Pharmacy,Pharmacy Technician,Bachelor,2020-08-09,1976-07-05,Good,No,Day,None,94377,116532,
HC-527398,Paul,Ray,Male,Unity Health,Rochester,New York,Radiology,X-Ray Technician,Associate,2019-04-03,1984-09-15,Needs Improvement,Yes,Day,Basic,95069,110054,
HC-508396,Aaron,Frost,Female,Sunrise Medical,New York City,New York,Admin,Billing Specialist,Bachelor,2023-07-15,2001-09-19,Average,No,Night,Specialized,102518,113559,
HC-106182,Judy,Lambert,Female,Metro Medical,Miami,Florida,Pharmacy,Pharmacy Technician,Bachelor,2017-05-13,1983-01-26,Average,No,Evening,Basic,103993,120083,
HC-330080,Elizabeth,Rivera,Female,Sunrise Medical,New York City,New York,Cardiology,Cardiac Nurse,Bachelor,2018-04-25,1996-11-05,Average,No,Evening,Advanced,127670,143088,
HC-812131,Jennifer,Evans,Female,Unity Health,Tampa,Florida,Pediatrics,Pediatric Nurse,Bachelor,2021-04-23,1985-05-29,Average,No,Day,None,91645,105346,
HC-720644,Richard,Phillips,Female,General Health Center,Tampa,Florida,Pharmacy,Inventory Clerk,High School,2020-02-16,1996-06-02,Outstanding,No,Night,Specialized,57786,58877,
HC-584125,Shelby,Byrd,Female,Sunrise Medical,Austin,Texas,Emergency,ER Doctor,MD,2013-11-25,1979-08-13,Good,Yes,Evening,Basic,99598,142424,
HC-442722,Kevin,Kelley,Male,Sunrise Medical,Los Angeles,California,Emergency,ER Nurse,Bachelor,2021-01-01,1987-04-15,Good,No,Evening,Specialized,73065,88007,
HC-975467,Russell,Carpenter,Male,Mercy Hospital,San Francisco,California,Pharmacy,Pharmacist,PhD,2018-08-27,1973-06-19,Average,No,Night,None,85870,126143,
HC-335113,Scott,Lewis,Male,Mercy Hospital,Los Angeles,California,Radiology,MRI Technician,Bachelor,2014-06-22,1972-11-24,Average,No,Day,None,72411,90206,2015-08-10
HC-309044,Laura,Jackson,Female,General Health Center,Miami,Florida,Admin,Admin Assistant,High School,2020-01-31,1991-07-07,Average,No,Day,Specialized,127747,131675,
HC-219946,Cynthia,Rogers,Female,General Health Center,Austin,Texas,Pharmacy,Inventory Clerk,High School,2023-10-25,1987-10-01,Good,No,Night,Advanced,88351,91907,
HC-275939,Emily,Walker,Male,Metro Medical,Tampa,Florida,Pediatrics,Child Therapist,Master,2020-03-13,1975-01-09,Needs Improvement,No,Night,None,61465,82978,2021-07-17
HC-426147,John,Alvarez,Female,Metro Medical,Chicago,Illinois,Admin,Admin Assistant,High School,2019-11-06,1988-01-27,Average,No,Night,Specialized,91990,95474,
HC-849747,Robert,Soto,Male,Hope Wellness Center,Los Angeles,California,Admin,Admin Assistant,High School,2014-03-12,1970-09-11,Average,No,Night,Basic,53356,60692,
HC-831059,Troy,Sanchez,Female,Sunrise Medical,Dallas,Texas,Emergency,ER Nurse,Bachelor,2022-08-27,1981-01-03,Good,No,Day,None,85508,99185,2023-02-25
HC-658623,Karen,Carrillo,Female,Valley Hospital,Buffalo,New York,Radiology,X-Ray Technician,Associate,2020-02-08,1996-06-04,Needs Improvement,No,Night,Advanced,41658,44567,
HC-990844,Gregory,Rubio,Female,General Health Center,San Diego,California,Cardiology,Cardiac Nurse,Bachelor,2022-07-08,1997-01-19,Good,Yes,Evening,Advanced,123307,137876,
HC-968962,John,Charles,Male,Unity Health,San Francisco,California,Emergency,ER Nurse,Bachelor,2020-06-15,1985-10-19,Good,Yes,Day,Advanced,120728,146081,
HC-947458,Elizabeth,Travis,Female,Sunrise Medical,Dallas,Texas,Radiology,MRI Technician,Bachelor,2021-08-05,1985-12-12,Good,Yes,Evening,Advanced,82245,94541,
HC-993085,Patricia,Salazar,Male,Valley Hospital,San Diego,California,Oncology,Oncologist,MD,2022-09-19,1998-07-03,Outstanding,No,Evening,Specialized,71963,103708,
HC-886931,Maria,Kelley,Female,Mercy Hospital,Springfield,Illinois,Pharmacy,Pharmacy Technician,Bachelor,2019-11-23,1976-09-28,Needs Improvement,Yes,Evening,Advanced,43761,51332,
HC-618317,Thomas,Green,Female,Metro Medical,New York City,New York,Emergency,ER Nurse,Bachelor,2015-03-31,1987-08-21,Good,No,Evening,Advanced,84608,96815,
HC-393243,Katie,Boyd,Male,Unity Health,Orlando,Florida,Oncology,Lab Technician,Bachelor,2020-08-16,1990-04-10,Average,No,Night,None,107715,128854,
HC-300337,Chris,Mitchell,Male,General Health Center,Naperville,Illinois,Radiology,Radiologist,MD,2016-04-09,1981-04-27,Outstanding,No,Evening,Basic,130519,195583,2017-10-31
HC-599219,Amber,Taylor,Male,Sunrise Medical,New York City,New York,Cardiology,Technician,Associate,2020-03-25,1984-09-10,Good,No,Day,None,78566,90950,
HC-332360,Jasmine,Brown,Female,Mercy Hospital,San Francisco,California,Admin,Receptionist,High School,2020-05-28,1989-07-17,Good,Yes,Night,Advanced,102031,105653,
HC-680358,Robert,Clark,Male,Hope Wellness Center,Chicago,Illinois,Cardiology,Technician,Associate,2017-06-02,1972-11-26,Good,No,Night,Advanced,86112,102398,
HC-836996,Brandy,Dominguez,Female,Lakeside Clinic,Miami,Florida,Cardiology,Cardiac Nurse,Bachelor,2016-11-08,1986-10-06,Good,No,Day,None,134540,154302,
HC-301939,Omar,Smith,Male,Mercy Hospital,Buffalo,New York,Radiology,X-Ray Technician,Associate,2015-05-09,1976-10-02,Good,No,Night,Basic,65105,76734,
HC-326895,Melissa,Ashley,Male,Sunrise Medical,Springfield,Illinois,Admin,Billing Specialist,Bachelor,2018-06-02,1973-09-30,Average,No,Night,Advanced,53176,66098,
HC-973074,Amy,Morrison,Male,Hope Wellness Center,Austin,Texas,Cardiology,Cardiologist,MD,2017-03-22,1984-03-21,Average,No,Day,Advanced,41854,62294,
HC-842411,Ryan,Johnson,Female,Metro Medical,San Diego,California,Pharmacy,Inventory Clerk,High School,2015-05-03,1992-09-04,Outstanding,No,Day,Advanced,131411,135140,
HC-232413,Richard,Martin,Female,Valley Hospital,Los Angeles,California,Emergency,Paramedic,Associate,2022-06-20,1985-02-16,Good,No,Day,None,115243,126450,
HC-398151,Cindy,Johnson,Female,Unity Health,Austin,Texas,Cardiology,Cardiac Nurse,Bachelor,2018-05-24,1986-07-25,Average,No,Day,None,73092,83828,
HC-600935,Anthony,Day,Female,Unity Health,New York City,New York,Pharmacy,Pharmacist,PhD,2022-02-19,1988-06-17,Average,Yes,Evening,None,115631,156014,
HC-760021,Brent,Gray,Male,Lakeside Clinic,Chicago,Illinois,Radiology,MRI Technician,Bachelor,2014-03-19,1988-04-29,Needs Improvement,Yes,Night,Advanced,51164,61486,
HC-360247,Kathleen,Gray,Male,Unity Health,San Diego,California,Cardiology,Cardiologist,MD,2019-10-01,1984-10-30,Outstanding,No,Night,Basic,108494,161480,
HC-498855,Johnny,Miller,Female,Lakeside Clinic,Tampa,Florida,Pharmacy,Pharmacy Technician,Bachelor,2023-01-08,1992-07-15,Needs Improvement,Yes,Night,Specialized,80026,90526,
HC-696251,Zoe,Bell,Male,Hope Wellness Center,Austin,Texas,Radiology,MRI Technician,Bachelor,2014-08-25,1969-10-12,Good,No,Day,Basic,121987,152972,
HC-321275,Denise,Webster,Male,Metro Medical,San Francisco,California,Emergency,ER Nurse,Bachelor,2020-12-12,1993-03-14,Average,Yes,Day,Basic,112350,133472,
HC-178711,Andrew,Hernandez,Female,Lakeside Clinic,Los Angeles,California,Pharmacy,Pharmacist,PhD,2013-02-15,1977-09-01,Average,No,Night,Specialized,78175,108132,
HC-134225,Anne,Robinson,Male,General Health Center,Houston,Texas,Pharmacy,Pharmacist,PhD,2017-09-12,1986-10-07,Good,No,Night,Specialized,49329,70380,
HC-820775,Gary,Lawson,Female,Sunrise Medical,Chicago,Illinois,Pediatrics,Pediatrician,MD,2023-09-30,1981-02-11,Good,Yes,Night,Basic,95723,136269,
HC-220351,Lori,Oconnell,Female,Hope Wellness Center,Austin,Texas,Pediatrics,Child Therapist,Master,2016-02-09,1990-01-10,Good,No,Evening,Basic,49359,61193,
HC-162535,Larry,Byrd,Female,Unity Health,Tampa,Florida,Pediatrics,Pediatrician,MD,2021-12-15,1980-05-24,Average,No,Night,Advanced,97560,139197,2022-11-18
HC-230394,Jennifer,Jones,Male,Lakeside Clinic,Rochester,New York,Pharmacy,Pharmacy Technician,Bachelor,2020-09-09,1976-08-16,Average,Yes,Evening,Advanced,105597,130386,
HC-666211,Curtis,Barton,Male,Mercy Hospital,Austin,Texas,Emergency,ER Nurse,Bachelor,2018-11-06,1977-08-07,Average,Yes,Day,Specialized,136276,167892,
HC-437978,David,Riggs,Male,Valley Hospital,Naperville,Illinois,Oncology,Lab Technician,Bachelor,2016-10-12,1992-05-06,Average,No,Day,None,128117,152555,2019-08-10
HC-961322,Ross,Wood,Male,Sunrise Medical,Springfield,Illinois,Emergency,ER Nurse,Bachelor,2019-07-04,1992-05-04,Outstanding,No,Evening,Specialized,76458,91042,
HC-290305,Melissa,Short,Male,Metro Medical,Austin,Texas,Emergency,Paramedic,Associate,2018-02-08,1981-12-16,Good,No,Day,Specialized,85607,99775,
HC-528184,Cynthia,Poole,Female,Unity Health,Miami,Florida,Emergency,ER Nurse,Bachelor,2017-09-15,1992-06-07,Good,No,Day,Advanced,93955,106283,
HC-827369,Jessica,Sheppard,Female,Mercy Hospital,Austin,Texas,Radiology,X-Ray Technician,Associate,2017-04-09,1983-10-22,Good,Yes,Night,None,99614,109798,
HC-192337,Amanda,Webb,Male,General Health Center,Houston,Texas,Emergency,ER Nurse,Bachelor,2016-06-07,1991-09-24,Good,No,Evening,None,126200,150620,
HC-668950,Joseph,Christian,Female,Lakeside Clinic,San Diego,California,Admin,Receptionist,High School,2018-10-30,1990-02-01,Good,No,Night,Advanced,121609,125637,
HC-893188,Nicole,Sanchez,Female,Mercy Hospital,Tampa,Florida,Radiology,X-Ray Technician,Associate,2020-06-18,1997-08-11,Outstanding,Yes,Day,Advanced,111987,119527,
HC-237377,Nicholas,Johnson,Female,Sunrise Medical,Miami,Florida,Pediatrics,Pediatric Nurse,Bachelor,2018-11-06,1974-03-08,Good,No,Evening,None,43783,51587,2020-06-19
HC-760626,Jason,Salinas,Female,Unity Health,Los Angeles,California,Emergency,Paramedic,Associate,2021-05-04,1977-11-17,Average,No,Day,Advanced,112199,125349,
HC-114338,Jacqueline,Hill,Female,Mercy Hospital,Houston,Texas,Pharmacy,Inventory Clerk,High School,2018-01-04,1989-12-12,Average,Yes,Day,Specialized,55396,57363,
HC-779172,Christopher,Cortez,Female,General Health Center,Chicago,Illinois,Admin,Admin Assistant,High School,2019-06-27,1975-10-03,Outstanding,No,Evening,Advanced,94459,100953,
HC-975271,Hannah,Brewer,Male,Valley Hospital,San Francisco,California,Admin,Receptionist,High School,2024-06-28,1995-10-16,Good,No,Evening,Basic,90277,97048,
HC-299869,Christopher,Walker,Male,Hope Wellness Center,Los Angeles,California,Cardiology,Technician,Associate,2019-09-09,1993-04-22,Good,No,Day,Advanced,94387,107035,
HC-456385,Bonnie,Kennedy,Male,Lakeside Clinic,Tampa,Florida,Emergency,Paramedic,Associate,2016-07-12,1994-06-04,Good,Yes,Evening,Advanced,116931,132293,
HC-708093,Julie,Rivera,Female,Sunrise Medical,Naperville,Illinois,Admin,Billing Specialist,Bachelor,2018-09-13,1992-04-08,Good,Yes,Evening,Specialized,85236,96420,
HC-448588,John,Martinez,Male,Unity Health,San Francisco,California,Cardiology,Technician,Associate,2021-03-12,1987-02-13,Good,Yes,Evening,Advanced,64727,74420,
HC-831380,Amanda,Gill,Male,Hope Wellness Center,New York City,New York,Emergency,ER Doctor,MD,2019-03-09,1990-03-20,Needs Improvement,No,Evening,None,81704,119952,
